paper_id,arxiv_id,title,authors,year,family,broad_cluster,source_relation,problem,problem_anchor,method,method_anchor,correction_exactness,result,result_anchor,limitation,limitation_anchor,review_status,source_url,discovered_primary_url,pdf_path,pdf_pages,source_pdf_sha256,selection_reason,dijkstra_rank,dijkstra_distance
P028,1810.12879,Regressive and generative neural networks for scalar field theory,"Zhou, Kai and Endr o di, Gergely and Pang, Long-Gang and St \""o cker, Horst",2019,early_generative_lft,Early generative baselines,direct_bibliography,"Explore whether neural networks can classify phases, predict observables, and generate configurations for a finite-density scalar lattice theory.",PDF p.1 abstract and introduction,Train supervised regressors/classifiers and a conditional GAN on configurations generated by a conventional worm algorithm.,PDF pp.1-3 and Appendix B,"The paper explicitly says the GAN is not a full-fledged Monte Carlo alternative and does not supply ergodicity, reversibility, or detailed-balance guarantees.","Within the tested scalar model, the networks recognize phases and observables beyond the training point, while generated configurations reproduce selected distributional features and a local constraint.",PDF pp.4-8,This is a training-data-dependent proof of concept; generated samples are not an exact target sampler and extension outside the tested regime is prospective.,PDF p.1 introduction and p.8 Sec. IV,new_full_text_review_current_run,https://arxiv.org/abs/1810.12879,https://arxiv.org/abs/1810.12879,sources/pdfs/1810.12879.pdf,11,6b373eb105b8b8230ed2f0d82e095b42e76311c914770ddbc6123fc8a007db81,dijkstra_global_fill,192,1.721222
P029,2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024,stochastic_flow_scaling,Stochastic flows,external_extension,Mitigate critical slowing/topological freezing in 4D SU(3) while retaining favorable nonequilibrium scaling.,PDF p.1 abstract,Insert gauge-equivariant coupling layers into a non-equilibrium Monte Carlo protocol and train by dissipated-work/KL reduction.,PDF pp.2-6 method,Jarzynski/reweighting corrects the final estimator.,SNF reaches similar KL/ESS with about half the protocol steps of NE-MCMC and inherits the tested volume scaling.,"PDF pp.6-7, Figs. 2-3",Changing all links still implies n_step proportional to volume and becomes very expensive on fine lattices; protocol and architecture optimization remain open.,PDF pp.7-8 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2409.18861,http://arxiv.org/abs/2409.18861v2,sources/pdfs/2409.18861.pdf,10,662102a173db6d419f701a1247050e5d023acc0f0182a1d7a5c0719b04a82d5f,dijkstra_global_fill,200,1.75
P030,2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; K. Cranmer; Daniel C. Hackett; Alexander Matthews; Sébastien Racanière; Ali Razavi; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,scaling_analysis,Scaling / multiscale,external_extension,Determine whether flow-based lattice-QCD sampling is actually scalable rather than extrapolating from toy-model ESS.,PDF p.1 abstract,"Decompose training, proposal and correction costs and analyze how architecture, transfer learning, stopping rules and protocols change scaling.",PDF pp.3-8 analysis,"Reweighting or independence Metropolis retains exactness, but cost must include training and correction.",The paper shows that no single flow scaling law is meaningful; scalability must be assessed experimentally for each full algorithm.,PDF pp.1-8,"Training cost can vary by orders of magnitude with protocol, and state-of-the-art QCD viability remains unproven.",PDF pp.7-10 limitations/discussion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2211.07541,http://arxiv.org/abs/2211.07541,sources/pdfs/2211.07541.pdf,22,7852044405efbe657ad5dece5b84c3d50ede2214c051159b84787eddd4c40542,dijkstra_global_fill,201,1.75
P031,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026,diffusion_scaling,Diffusion,closure,Test diffusion sampling near criticality and whether training on cheap small volumes transfers to unseen large lattices.,PDF p.1 abstract,"Use a fully convolutional reverse-SDE score model trained across volumes, plus score, MALA-acceptance and HMC-referenced ESS diagnostics.",PDF methods and Sec. V,Raw diffusion ensembles retain residual bias; an exact composite MALA chain can remove it.,"Cross-volume models reproduce most 2D/3D phi4 observables and the propagator at unseen sizes, including L=64, with strongest residuals in infrared/zero-mode quantities.",PDF pp.20-21 summary,"Results use scalar theories, support filters and 2000 score evaluations; zero-mode/action-density bias, transfer range, gauge equivariance and fermions remain open.",PDF pp.20-21 summary/outlook,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2607.08505,http://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,39,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,gap_closure:critical_diffusion,closure,closure
P032,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,lattice_diffusion,Diffusion,direct_bibliography,Relate modern denoising diffusion to stochastic quantization and use it to reduce lattice-chain autocorrelation.,PDF p.1 abstract,Learn a reverse Langevin/score process from HMC data and deploy it as a global proposal in 2D phi4.,PDF pp.3-13 theory/method,An accept-reject step can be added; uncorrected DM samples are approximate.,The trained model reproduces tested configurations and reduces autocorrelation in symmetric and broken phases.,PDF pp.14-19 results,"The study is a simple 2D demonstration and leaves data-free training, non-Abelian fields, fermions and complex actions unresolved.",PDF pp.19-20 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2309.17082,http://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,31,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,gap_closure:critical_diffusion,closure,closure
P033,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,Octavio Vega; Javad Komijani; Aida El-Khadra; Marina Marinkovic,2025,equivariant_diffusion,Diffusion,external_extension,Improve diffusion sample quality for scalar and gauge targets by encoding exact symmetries and target forces.,PDF p.1 abstract,Use group-equivariant score networks with force-regularized score matching for 2D phi4 and U(1).,PDF pp.9-18 method,Reported observables are reweighted; MALA is identified as an alternative exact refinement.,Symmetry-aware models outperform generic scores and reproduce tested observables with ESS reported between 15% and 65% in U(1) examples.,PDF pp.26-28 results/conclusion,"ESS decreases with volume, sampling is computationally expensive, and higher dimensions, SU(3), fermions and integrator choices remain untested.",PDF pp.27-29 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2510.26081,http://arxiv.org/abs/2510.26081,sources/pdfs/2510.26081.pdf,45,c315ee3cd880525f23586972af6fc9b50417a6a4799fc956b65e2a6f1c1acc6d,gap_closure:critical_diffusion,closure,closure
P034,2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,Urs Wenger,2026,review_scaling,Scaling / multiscale,external_extension,Assess which machine-learning routes have credible prospects for 4D SU(3) lattice gauge theory.,PDF p.1 abstract,"Review normalizing/stochastic flows, diffusion processes and learned renormalization-group/fixed-point actions with physics constraints.",PDF pp.3-12 review,"Exactness depends on each underlying sampler/correction; the article is a review, not a new universal correction.","The review identifies physics-conditioned diffusion, stochastic nonequilibrium flows and learned fixed-point actions as promising directions with some 4D evidence.",PDF pp.12-14 summary,"Most approaches remain exploratory; plain normalizing flows have not scaled simultaneously to 4D, large volume and fine spacing, and physics input appears essential.",PDF pp.13-14 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2604.12416,http://arxiv.org/abs/2604.12416,sources/pdfs/2604.12416.pdf,18,158c4d0098c9f26e872a06174056b0e50f947201238953bd71e5fd94416a9004,gap_closure:scaling,closure,closure
P035,2601.20708,A scalable flow-based approach to mitigate topological freezing,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2026,defect_stochastic_flow,Stochastic flows,external_extension,Use fast open-boundary topology dynamics while recovering periodic-boundary observables without boundary artifacts.,PDF p.1 abstract,Train localized gauge-equivariant defect SNFs that interpolate OBC to PBC through nonequilibrium updates.,PDF pp.2-5 method,Jarzynski reweighting restores periodic-boundary expectation values exactly in the estimator.,"In tested 4D SU(3), defect SNF improves over NE-MCMC by about a factor of three at fixed estimator quality and reproduces topological susceptibility references.",PDF pp.4-6 results/conclusion,"Richer layers, optimized schedules and dynamical fermions remain open; the factor is setup specific.",PDF p.6 outlook,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2601.20708,http://arxiv.org/abs/2601.20708,sources/pdfs/2601.20708.pdf,10,d9ef54027185abea0d336993a8860c2c9c183eff1f4deb7ca54c6ab32ee5e821,gap_closure:scaling,closure,closure
P036,2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Gurtej Kanwar; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,qcd_flow,Normalizing flows,external_extension,Test whether gauge-equivariant flows can be assembled for dynamical-fermion QCD rather than only toy gauge systems.,PDF p.1 abstract,Combine marginal gauge and conditional pseudofermion flow models for a 4D two-flavor QCD demonstration.,PDF pp.2-5 method,Reweighting or independence Metropolis corrects model proposals.,"On a 4^4 lattice the reweighted flow ensemble is statistically consistent with HMC for plaquette, Polyakov loop, pion correlator and topology.",PDF pp.5-7 results,"The lattice is tiny; model/training choices and scaling tradeoffs are largely unexplored, and at-scale use requires major engineering/HPC integration.",PDF pp.6-8 outlook,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2208.03832,http://arxiv.org/abs/2208.03832,sources/pdfs/2208.03832.pdf,14,f898d7877b6b74d39596791b907d71f76d1cda17338d7892b092113889203e1f,gap_closure:scaling,closure,closure
P037,2605.12597,The critical slowing down in diffusion models,Luca Maria Del Bono; Giulio Biroli; Patrick Charbonneau; Marylou Gabrié,2026,diffusion_failure_theory,Diagnostics / theory,round2_closure,Determine whether diffusion models automatically escape critical slowing down in training and generation.,PDF p.1 abstract,"Analyze score training and reverse generation exactly in the Gaussian O(n to infinity) model; compare one-layer, two-layer and local score architectures.",PDF pp.7-15 theory/results,No target-correction mechanism is proposed; this is a controlled theory/architecture analysis.,A one-layer exact-form score learns with critical slowing and transmits it to generation; a two-layer/local architecture changes training scaling from quadratic to logarithmic in system size in the analyzed setting.,"PDF pp.12-15, Secs. IV-VI",The result is controlled only in the Gaussian O(n to infinity) limit; deeper architectures add overhead and finite-n/non-equilibrium systems remain open.,PDF pp.15-16 conclusion,rechecked_current_text_same_pdf_sha256,https://arxiv.org/abs/2605.12597,http://arxiv.org/abs/2605.12597,sources/pdfs/2605.12597.pdf,31,e8d9fd459e637d0a91ff900b4ba79b3efee4fd12011e27774e3daeaf4bad73f5,gap_closure:theory_boundary,closure,closure
